name;mean;lower;upper
Covfefe;1.1989430392359643;1.0707825264070217;1.3586997312880769
Coffee;1.8509517925847414;1.5589700774380222;2.2277524840390077
Variable;1.2181511719526776;1.0834045213367796;1.4116828627659692
Covariate;1.1970336196247522;1.069967065669243;1.3427371307343883
Predictor;0.9085823157108157;0.8049224718265249;1
Smoking;0.8770238387341966;0.7447709226841338;1
Age;0.9344550782717161;0.8305983647715152;1
Uranium;0.9177338183807721;0.8021059651587378;1
Stuff;1.0760009906628745;1;1.2164741274412672
Thing;0.9143604820579013;0.7753231019665932;1
Koffing;1.068692394661662;1;1.1786422954306046
Coughing;1.064823649346512;1;1.1949984442202182
Polvo;0.9227276620948732;0.8097845737256726;1